时间,时间维度,南方电网,广东,广西,云南,海南,贵州,指标单位
2019-04-21,日,1221889.00000000,566552.00000000,191076.00000000,74223.00000000,60907.00000000,329131.00000000,MWh
2019-04-22,日,1350723.00000000,667483.00000000,196614.00000000,74092.00000000,61791.00000000,350743.00000000,MWh
2019-04-23,日,1368807.00000000,698085.00000000,193990.00000000,73808.00000000,61530.00000000,341394.00000000,MWh
2019-04-24,日,1387895.00000000,717115.00000000,193356.00000000,74334.00000000,63114.00000000,339976.00000000,MWh
2019-04-25,日,1410917.00000000,740426.00000000,203292.00000000,75934.00000000,62295.00000000,328970.00000000,MWh
2019-04-26,日,1404192.00000000,753153.00000000,191306.00000000,75996.00000000,62648.00000000,321089.00000000,MWh
2019-04-27,日,1211380.00000000,591994.00000000,174103.00000000,72222.00000000,58446.00000000,314615.00000000,MWh
2019-04-28,日,1151550.00000000,545107.00000000,168844.00000000,72128.00000000,59332.00000000,306139.00000000,MWh
2019-04-29,日,1210388.00000000,617314.00000000,172319.00000000,68283.00000000,60132.00000000,292340.00000000,MWh
2019-04-30,日,1131912.00000000,563011.00000000,170221.00000000,56645.00000000,58357.00000000,283678.00000000,MWh
2019-05-01,日,855966.00000000,385304.00000000,155086.00000000,56490.00000000,52720.00000000,206366.00000000,MWh
2019-05-02,日,859217.00000000,364743.00000000,152550.00000000,57330.00000000,50484.00000000,234110.00000000,MWh
2019-05-03,日,962780.00000000,405465.00000000,195830.00000000,58825.00000000,46026.00000000,256634.00000000,MWh
2019-05-04,日,993697.00000000,437029.00000000,189013.00000000,57056.00000000,48375.00000000,262224.00000000,MWh
2019-05-05,日,1016197.00000000,446983.00000000,187020.00000000,56588.00000000,50757.00000000,274849.00000000,MWh
2019-05-06,日,1052909.00000000,486311.00000000,177755.00000000,56736.00000000,58145.00000000,273962.00000000,MWh
2019-05-07,日,1019036.00000000,470866.00000000,185207.00000000,56831.00000000,49113.00000000,257019.00000000,MWh
2019-05-08,日,1041929.00000000,471571.00000000,186307.00000000,57591.00000000,46323.00000000,280137.00000000,MWh
2019-05-09,日,1060554.00000000,493457.00000000,184474.00000000,56946.00000000,43235.00000000,282442.00000000,MWh
2019-05-10,日,1082732.00000000,519524.00000000,189638.00000000,55379.00000000,40634.00000000,277557.00000000,MWh
2019-05-11,日,1142525.00000000,572836.00000000,193136.00000000,56482.00000000,44450.00000000,275621.00000000,MWh
2019-05-12,日,1101920.00000000,555735.00000000,193137.00000000,56813.00000000,45414.00000000,250821.00000000,MWh
2019-05-13,日,1274392.00000000,683976.00000000,197063.00000000,56813.00000000,50920.00000000,285620.00000000,MWh
2019-05-14,日,1317987.00000000,732611.00000000,201742.00000000,56317.00000000,51582.00000000,275735.00000000,MWh
2019-05-15,日,1507165.00000000,846599.00000000,199525.00000000,51209.00000000,53592.00000000,356240.00000000,MWh
2019-05-16,日,1565013.00000000,865252.00000000,207362.00000000,54144.00000000,56637.00000000,381618.00000000,MWh
2019-05-17,日,1599142.00000000,866602.00000000,222165.00000000,57194.00000000,57985.00000000,395196.00000000,MWh
2019-05-18,日,1552903.00000000,804748.00000000,252247.00000000,57008.00000000,57681.00000000,381219.00000000,MWh
2019-05-19,日,1561521.00000000,805052.00000000,272617.00000000,57118.00000000,57509.00000000,369225.00000000,MWh
2019-05-20,日,1598271.00000000,858846.00000000,249783.00000000,67000.00000000,55069.00000000,367573.00000000,MWh
2019-05-21,日,1466174.00000000,739124.00000000,249102.00000000,72722.00000000,52244.00000000,352982.00000000,MWh
2019-05-22,日,1483380.00000000,732847.00000000,255874.00000000,93969.00000000,46861.00000000,353829.00000000,MWh
2019-05-23,日,1525321.00000000,743613.00000000,253869.00000000,115735.00000000,46057.00000000,366047.00000000,MWh
2019-05-24,日,1466734.00000000,723554.00000000,263649.00000000,88425.00000000,47999.00000000,343107.00000000,MWh
2019-05-25,日,1400316.00000000,691272.00000000,249930.00000000,87550.00000000,45178.00000000,326386.00000000,MWh
2019-05-26,日,1329930.00000000,642643.00000000,224862.00000000,111736.00000000,44839.00000000,305850.00000000,MWh
2019-05-27,日,1440009.00000000,705626.00000000,241985.00000000,116289.00000000,46779.00000000,329330.00000000,MWh
2019-05-28,日,1335454.00000000,722884.00000000,177625.00000000,117042.00000000,45674.00000000,272229.00000000,MWh
2019-05-29,日,1243504.00000000,643831.00000000,156227.00000000,116788.00000000,46976.00000000,279682.00000000,MWh
2019-05-30,日,1214788.00000000,613925.00000000,172169.00000000,116056.00000000,41820.00000000,270818.00000000,MWh
2019-05-31,日,1185417.00000000,608287.00000000,169861.00000000,103518.00000000,42174.00000000,261577.00000000,MWh
2019-06-01,日,1173313.00000000,599337.00000000,155515.00000000,103224.00000000,36378.00000000,278859.00000000,MWh
2019-06-02,日,1183022.00000000,593865.00000000,160161.00000000,99702.00000000,37024.00000000,292270.00000000,MWh
2019-06-03,日,1305537.00000000,693658.00000000,198203.00000000,108879.00000000,40872.00000000,263925.00000000,MWh
2019-06-04,日,1337131.00000000,704510.00000000,211898.00000000,110379.00000000,44482.00000000,265862.00000000,MWh
2019-06-05,日,1383918.00000000,752854.00000000,200497.00000000,102917.00000000,47973.00000000,279677.00000000,MWh
2019-06-06,日,1386353.00000000,747367.00000000,190210.00000000,109566.00000000,51440.00000000,287770.00000000,MWh
2019-06-07,日,1127680.00000000,622696.00000000,151358.00000000,99290.00000000,48114.00000000,206222.00000000,MWh
2019-06-08,日,1261703.00000000,720078.00000000,170514.00000000,99471.00000000,50682.00000000,220958.00000000,MWh
2019-06-09,日,1424098.00000000,834636.00000000,190315.00000000,100148.00000000,55088.00000000,243911.00000000,MWh
2019-06-10,日,1582907.00000000,932239.00000000,219391.00000000,114630.00000000,57936.00000000,258711.00000000,MWh
2019-06-11,日,1551211.00000000,912989.00000000,207546.00000000,114964.00000000,61085.00000000,254627.00000000,MWh
2019-06-12,日,1482301.00000000,877635.00000000,194704.00000000,115018.00000000,61622.00000000,233322.00000000,MWh
2019-06-13,日,1476188.00000000,875730.00000000,186663.00000000,113513.00000000,63479.00000000,236803.00000000,MWh
2019-06-14,日,1414267.00000000,848522.00000000,181337.00000000,97145.00000000,58921.00000000,228342.00000000,MWh
2019-06-15,日,3277320.00000000,816318.00000000,2100292.00000000,86984.00000000,51889.00000000,221837.00000000,MWh
