时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩 ,指标单位
2017-09-29,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-09-30,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-01,日,101470.00000000,9171.00000000,9269.00000000,58758.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-02,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-03,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-04,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-05,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-06,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-07,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-08,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-09,日,101820.00000000,9171.00000000,9269.00000000,59108.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-10,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-11,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-12,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-13,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-14,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-15,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-16,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-17,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-18,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-19,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-20,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-21,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-22,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-23,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-24,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-25,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-26,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-27,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-28,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-29,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-30,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-10-31,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-01,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-02,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-03,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-04,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-05,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-06,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
2017-11-07,日,101824.00000000,9171.00000000,9269.00000000,59112.00000000,881.00000000,15971.00000000,"7420.00000000	",MWh
