时间,时间维度,南方电网,广东,广西,云南,海南,贵州,"天生桥及龙滩	",指标单位
2021-01-31,日,2312231.00000000,647036.00000000,272923.00000000,733537.00000000,33530.00000000,553429.00000000,62078.00000000,MWh
2021-02-01,日,2296924.00000000,657420.00000000,298600.00000000,696368.00000000,34092.00000000,542263.00000000,58434.00000000,MWh
2021-02-02,日,2292865.00000000,661761.00000000,291742.00000000,685774.00000000,37953.00000000,549418.00000000,57150.00000000,MWh
2021-02-03,日,2226144.00000000,621017.00000000,281032.00000000,683201.00000000,38166.00000000,533482.00000000,60220.00000000,MWh
2021-02-04,日,2177909.00000000,623790.00000000,272334.00000000,659564.00000000,36517.00000000,521883.00000000,57276.00000000,MWh
2021-02-05,日,1995682.00000000,575873.00000000,276743.00000000,653884.00000000,36770.00000000,397576.00000000,54836.00000000,MWh
2021-02-06,日,2027830.00000000,524893.00000000,269587.00000000,648272.00000000,36102.00000000,494167.00000000,54809.00000000,MWh
2021-02-07,日,1961144.00000000,472902.00000000,262471.00000000,645736.00000000,35876.00000000,496284.00000000,47875.00000000,MWh
2021-02-08,日,1944818.00000000,482744.00000000,251930.00000000,634768.00000000,35050.00000000,496565.00000000,43761.00000000,MWh
2021-02-09,日,1895676.00000000,463121.00000000,243796.00000000,615896.00000000,33107.00000000,491986.00000000,47770.00000000,MWh
2021-02-10,日,1823692.00000000,478064.00000000,232774.00000000,589215.00000000,32990.00000000,451339.00000000,39310.00000000,MWh
2021-02-11,日,1739727.00000000,421418.00000000,224085.00000000,587589.00000000,37146.00000000,432580.00000000,36909.00000000,MWh
2021-02-12,日,1588934.00000000,401357.00000000,210672.00000000,537962.00000000,36433.00000000,373019.00000000,29491.00000000,MWh
2021-02-13,日,1602504.00000000,385981.00000000,213103.00000000,545924.00000000,38508.00000000,382891.00000000,36097.00000000,MWh
2021-02-14,日,1607690.00000000,406435.00000000,215158.00000000,555194.00000000,35348.00000000,364215.00000000,31340.00000000,MWh
2021-02-15,日,1649122.00000000,429067.00000000,217278.00000000,543863.00000000,37290.00000000,391399.00000000,30225.00000000,MWh
2021-02-16,日,1723766.00000000,434968.00000000,222863.00000000,576157.00000000,37770.00000000,407801.00000000,44207.00000000,MWh
2021-02-17,日,1801264.00000000,455940.00000000,227931.00000000,622347.00000000,39208.00000000,415570.00000000,40268.00000000,MWh
2021-02-18,日,1891881.00000000,498797.00000000,238555.00000000,611155.00000000,39510.00000000,458425.00000000,45439.00000000,MWh
2021-02-19,日,2001941.00000000,525524.00000000,243705.00000000,647732.00000000,42377.00000000,487409.00000000,55194.00000000,MWh
2021-02-20,日,2027303.00000000,531299.00000000,259375.00000000,653899.00000000,42308.00000000,487903.00000000,52519.00000000,MWh
2021-02-21,日,2044236.00000000,580369.00000000,256337.00000000,635834.00000000,45182.00000000,471847.00000000,54667.00000000,MWh
2021-02-22,日,2166573.00000000,667996.00000000,272039.00000000,651046.00000000,45444.00000000,476026.00000000,54022.00000000,MWh
2021-02-23,日,2236626.00000000,715272.00000000,292139.00000000,650771.00000000,45171.00000000,476614.00000000,56659.00000000,MWh
2021-02-24,日,2290692.00000000,757574.00000000,287712.00000000,649593.00000000,46712.00000000,488637.00000000,60464.00000000,MWh
2021-02-25,日,2377743.00000000,795382.00000000,296553.00000000,673975.00000000,47439.00000000,504293.00000000,60101.00000000,MWh
